,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
318,ClC1=CC(=CC=C1)C1=NOC(=C1)C(=O)NCC1=CC(Cl)=C(Cl)C=C1,0.5119393247365952,0.3843710292249047,0.38618925831202044,208,[2],46
322,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NOC=C1,0.5204562032222748,0.2543859649122807,0.37578814627994955,209,[0],14
327,ClC1=C(Cl)C=C(C=C1)N1CCN(CC1)C(=O)NC1=C(Br)C=CC=C1,0.5455812621116638,0.35288065843621397,0.3951473136915078,210,"[5, 6]",40
329,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(c2cccc(C(F)(F)F)c2)CC1,0.6562338936328888,0.36472945891783565,0.4464,211,[9],40
331,FC1=C(NC(=O)NCC2=CC=C(Cl)C(Cl)=C2)C=CC(Cl)=C1,0.6514932978153228,0.2826780021253985,0.49836601307189543,212,"[10, 11]",66
332,FC1=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=CC(Cl)=C1,0.6601821595430374,0.4065126050420168,0.4065126050420168,213,"[5, 6]",40
337,O=S(=O)(Nc1cccnc1)c1cccc(S(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,0.5974026435613632,0.3422818791946309,0.3785310734463277,214,[4],63
338,O=S(=O)(Nc1ccc(Cl)cc1)c1cccc(S(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,0.6714383894205094,0.35961768219832735,0.3901192504258944,215,[4],56
339,O=C(Nc1ccc(Cl)cc1C(F)(F)F)c1ccc(Cl)c(Cl)c1,0.5054066520929337,0.3291437549096622,0.42857142857142855,216,[0],43
341,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)NCC1=CC=CO1,0.5769216486811638,0.39631336405529954,0.47709593777009507,217,[0],48
342,FC1=CC(F)=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.551730927824974,0.40186915887850466,0.40186915887850466,218,"[5, 6]",40
343,CC(C)C1=CC=C(NC(=O)N2CCN(CC2)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.5918079775571823,0.3425925925925926,0.39473684210526316,219,"[5, 6]",40
344,ClC1=C(Cl)C=C(C=C1)N1CCN(CC1)C(=O)NCC1=CC=CC=C1,0.5527418914437294,0.32638164754953075,0.3747323340471092,220,"[5, 6]",20
345,CCC(C)NC(=O)C1=CSC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=N1,0.5251885834336281,0.3755605381165919,0.497787610619469,221,[0],26
347,ClC1=CC=C(C=C1)C(=O)N1CCN(CC1)C1=C(Cl)C=NC=C1Cl,0.5479115936905146,0.33863165169315823,0.4446786090621707,222,[12],5
348,FC(F)(F)C1=CC=CC(=C1)C(=O)N1CCN(CC1)C1=C(Cl)C=NC=C1Cl,0.6359646783769131,0.3579088471849866,0.46146146146146144,223,[12],5
349,ClC1=CN=CC(Cl)=C1N1CCN(CC1)C(=O)NC1=CC=CC=C1,0.5296088510751724,0.3192982456140351,0.3366071428571429,224,[12],51
350,ClC1=CC=C(NC(=O)N2CCN(CC2)C2=C(Cl)C=NC=C2Cl)C=C1,0.6632276612520218,0.3279832519190509,0.35714285714285715,225,[12],51
351,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)N1CCOCC1,0.5593807992339134,0.40373333333333333,0.4730290456431535,226,[0],49
352,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=NC(=CS1)C(=O)NCCC1=NC=CC=C1,0.5060211682319641,0.3983957219251337,0.48526315789473684,227,[0],48
353,CC(C)N(C)C(=O)C1=CSC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=N1,0.562971179485321,0.38504464285714285,0.4892241379310345,228,[0],26
354,FC1=CC=C(CNC(=O)C2=CSC(NC(=O)C3=CC(Cl)=C(Cl)C=C3)=N2)C=C1,0.610424416065216,0.3825107296137339,0.48812095032397407,229,[0],39
