,SMILES,hit,tan to nearest abx,tan to nearest ts,row_num,matching_frags,cluster
883,ClC1=CC=C(CNC(=O)C2=C(Br)C=CC=C2)C=C1Cl,0.4739945122599602,0.30707070707070705,0.34868421052631576,551,[2],62
884,COC1=C(NC(=O)NCC2=CC(Cl)=C(Cl)C=C2)C=CC=C1,0.4503931468725204,0.3125,0.46855345911949686,552,"[11, 12]",35
885,ClC1=CC=C(CNC(=O)C23CC4CC(CC(C4)C2)C3)C=C1Cl,0.6150099045038223,0.3225108225108225,0.3681506849315068,553,[2],12
886,CCC(OC1=CC=CC=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4760749715566635,0.3242074927953891,0.3900481540930979,554,"[2, 24, 26]",91
887,CCOC1=CC(=CC(OCC)=C1OCC)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4173749294877052,0.34444444444444444,0.4318181818181818,555,"[2, 37]",62
888,CC1=C(OCC(=O)NCC2=CC(Cl)=C(Cl)C=C2)C=CC(Cl)=C1,0.4508138236403465,0.3338368580060423,0.41080196399345337,556,[2],91
890,Cc1cccc(NC(=O)N2CCN(c3ccc(Cl)c(Cl)c3)CC2)c1,0.4951511499285698,0.3518324607329843,0.4072072072072072,557,"[7, 8]",111
891,COC1=CC=CC(OC)=C1C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4467166504263878,0.2990517870167761,0.39399624765478425,558,"[2, 23, 25]",62
892,ClC1=CC=C(CNC(=O)C2=C(Cl)C=CC=C2Cl)C=C1Cl,0.4684880524873733,0.3117408906882591,0.4018181818181818,559,[2],62
893,ClC1=CC(Cl)=C(C=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.6601440060138702,0.3128834355828221,0.4036697247706422,560,[2],62
894,ClC1=CC=C(CNC(=O)C2=CC=C(Br)O2)C=C1Cl,0.5347636267542839,0.24757281553398058,0.46142649199417757,561,[2],18
896,CCOC1=CC=C(C=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4267838490009308,0.33403361344537813,0.3930232558139535,562,"[2, 37]",62
898,COC1=CC(OC)=C(C=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4156957644224167,0.3060188542422045,0.3951456310679612,563,"[2, 23, 25, 37]",62
899,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCN(c2ncccn2)CC1,0.4714991417527199,0.2876712328767123,0.44424131627056673,564,[14],30
900,CCOC1=C(C=CC=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4392569771409034,0.31116038433111604,0.4233301975540922,565,"[2, 23, 25]",62
902,CSc1nsc(NC(=O)c2ccc(Cl)c(Cl)c2)n1,0.7196444869041443,0.29171528588098017,0.43013365735115433,566,[0],53
903,ClC1=CC=C(CNC(=O)C2=CC=CC3=CC=CC=C23)C=C1Cl,0.4320610719919204,0.3149284253578732,0.3692493946731235,567,[2],18
904,ClC1=CC=C(CNC(=O)C2C3=C(OC4=C2C=CC=C4)C=CC=C3)C=C1Cl,0.499535439312458,0.3798076923076923,0.4192932187201528,568,[2],12
907,ClC1=CC=C(CNC(=O)C2=C(Cl)C=CC=C2)C=C1Cl,0.517064846754074,0.3283261802575107,0.41603053435114506,569,[2],62
908,CC1=C(C)C(C(N)=O)=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)S1,0.480882364064455,0.4353813559322034,0.44184445973847214,570,[0],76
909,CC(OC1=C(Cl)C=C(Cl)C=C1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.7173661035299301,0.31377899045020463,0.4444444444444444,571,"[2, 24, 26]",91
911,ClC1=C(Cl)C=C(C=C1)C(=O)NC1=CC=C(NC2=CC=CC=C2)C=C1,0.5055852881073952,0.29620253164556964,0.4971590909090909,572,[0],29
912,FC1=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C=CC(Cl)=C1,0.4879800021648407,0.2949640287769784,0.45524296675191817,573,[0],174
913,Cc1c(F)cccc1NC(=O)c1ccc(Cl)c(Cl)c1,0.4102432894706726,0.3282258064516129,0.4400494437577256,574,[0],174
914,CN(C)C(=O)C1=C(C)N=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)S1,0.4121964481472969,0.3982528263103803,0.4859228362877998,575,[0],73
915,ClC1=CC=C(C=C1Cl)C(=O)NC1=CC=CC2=NC=CC=C12,0.4440753841400146,0.3915756630265211,0.4869684499314129,576,[0],4
917,ClC1=C(Cl)C=C(C=C1)C(=O)N1CCCN(CC1)C(=O)C1=CC(Cl)=C(Cl)C=C1,0.4654971231520176,0.33955223880597013,0.3494085532302093,577,[0],23
918,CS(=O)(=O)c1cccc(NC(=O)c2ccc(Cl)c(Cl)c2)c1,0.4205143582820892,0.3064391000775795,0.47149122807017546,578,[0],174
919,FC1=CC=C(NC(=O)C2=CC=CC(=N2)C(=O)NC2=CC=C(F)C(Cl)=C2)C=C1Cl,0.5506812828779221,0.35477386934673366,0.39375,579,[1],31
920,CC(C)(CNC(=O)C1=CC(Cl)=C(Cl)C=C1)CNC(=O)C1=CC(Cl)=C(Cl)C=C1,0.4410655698180198,0.38839285714285715,0.3520408163265306,580,[0],86
921,FC1=CC=C(NC(=O)C2=CN=C(C=C2)C(=O)NC2=CC=C(F)C(Cl)=C2)C=C1Cl,0.4970813301205635,0.358950328022493,0.4004602991944764,581,[1],31
922,ClC1=C(Cl)C=C(C=C1)C(=O)NCC1=CC(CNC(=O)C2=CC(Cl)=C(Cl)C=C2)=CC=C1,0.707353367805481,0.33407572383073497,0.35676625659050965,582,[0],169
923,ClC1=CC=C(CNC(=O)CCC(=O)NCC2=CC(Cl)=C(Cl)C=C2)C=C1Cl,0.6950897246599197,0.3659217877094972,0.36654135338345867,583,[2],43
924,CC1=CC(NC(=O)C2=CC(Cl)=C(Cl)C=C2)=C(NC(=O)C2=CC(Cl)=C(Cl)C=C2)C=C1,0.6340550231933594,0.3388022969647252,0.44324324324324327,584,[0],56
925,O=C(Nc1ccc(F)cc1)N1CCN(c2ccc(Cl)c(Cl)c2)CC1,0.5234934428334236,0.36236559139784946,0.42830188679245285,585,"[7, 8]",111
926,ClC1=CC=C(CC2=NN=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)S2)C=C1,0.658843794465065,0.3331518780620577,0.4267734553775744,586,[0],98
930,ClC1=CC=CC(C(=O)NC2=NN=C(CC3CCCC3)S2)=C1Cl,0.4154221522808075,0.3656675749318801,0.4130663856691254,587,[3],26
932,ClC1=CC(Cl)=C(C=C1)C1=CSC(NC(=O)C2=C(Cl)C(Cl)=CC=C2)=C1C#N,0.40749431848526,0.48586387434554973,0.49280397022332506,588,[3],76
933,CCC1=CC=C(S1)C(=O)NCC1=CC=C(Cl)C(Cl)=C1,0.4046234840154648,0.2562814070351759,0.32056737588652484,589,[2],79
934,OC(=O)C1=C(NC(=O)C2=CC=C(NC(=O)C3=CC(Cl)=C(Cl)C=C3)C=C2)C=CC=C1,0.489535407423973,0.3590764331210191,0.42984014209591476,590,[0],185
935,OC(=O)C1=C(C=C(Cl)C(Cl)=C1)C(=O)NC1=CC=C(Br)C2=CC=CN=C12,0.4941183543205261,0.45706371191135736,0.45706371191135736,591,[0],94
937,CC1CN=C(S1)N(C(=O)NC1=CC=C(Cl)C(Cl)=C1)C1=CC(Cl)=C(F)C=C1,0.5930465143918991,0.41623843782117165,0.41932270916334663,592,[1],57
