Structure,ID,Mol Weight,Smiles,query_ID
,Z4887869629,332.37,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC(C)(C)[C@H]2O)C=C1F |&1:11,17,c:2,20,t:5|",450614896
,Z5069733690,314.35,CSC1=C(F)C=C(NC(=O)NC23CC(C)(C2)OC3)C=C1F,450614896
,Z5196120502,374.4,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC3(CCOCC3)[C@H]2O)C=C1F |&1:11,20,c:2,24,t:5|",450614896
,Z1657174935,302.34,CSC1=C(F)C=C(NC(=O)NC2(C)CCOC2)C=C1F,450614896
,Z5069733691,372.39,CCOC(=O)C12CC(C1)(CO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z2351876537,356.39,CC(C)(C)SC1=C(F)C=C(C=C1F)N1C(=O)NC2(CCOC2)C1=O,450614896
,Z4264302354,328.38,"CSC1=C(F)C=C(NC(=O)N2CCC[C@@H]3OCC[C@H]23)C=C1F |&1:14,18,c:2,21,t:5|",450614896
,Z1657171120,342.4,CSC1=C(F)C=C(NC(=O)NC2(C)CCOC2C2CC2)C=C1F,450614896
,Z1657171651,392.46,CSC1=C(F)C=C(NC(=O)N(CCC2=CC=CC=C2)C2CCOC2)C=C1F,450614896
,Z3592517201,332.37,"CCN([C@@H]1COC[C@H]1O)C(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:3,7,c:21,t:13,16|",450614896
,Z3040834250,330.35,"CSC1=C(F)C=C(NC(=O)N2CCO[C@@H]3COC[C@@H]23)C=C1F |&1:14,18,c:2,21,t:5|",450614896
,Z2371392112,314.35,CSC1=C(F)C=C(NC(=O)N2CCC22CCOC2)C=C1F,450614896
,Z2838500230,328.38,"CSC1=C(F)C=C(NC(=O)N[C@]23CCC[C@H]2OCC3)C=C1F |&1:11,15,c:2,21,t:5|",450614896
,Z2840601392,344.38,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@H]2CCOC2=O)C=C1F,450614896
,Z5876908274,344.38,CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2CCOC2=O)C=C1F,450614896
,Z2313176505,360.42,"CO[C@@H]1COC[C@@H]1NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,6,c:23,t:12,15|",450614896
,Z2439448286,360.42,"CO[C@@H]1COC[C@H]1NC(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1 |&1:2,6,c:23,t:12,15|",450614896
,Z2293283406,316.37,CSC1=C(F)C=C(NC(=O)NC2COCC2(C)C)C=C1F,450614896
,Z3592516250,326.36,CSC1=C(F)C=C(NC(=O)NC23COC(C2)C=CC3)C=C1F,450614896
,Z5624345857,344.38,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC3(CCC3)[C@H]2O)C=C1F |&1:11,18,c:2,22,t:5|",450614896
,Z3175337924,316.32,CSC1=C(F)C=C(NC(=O)NC2(C)CCOC2=O)C=C1F,450614896
,Z4011846656,316.32,CSC1=C(F)C=C(NC(=O)NC2C(C)COC2=O)C=C1F,450614896
,Z3175338144,355.36,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CN=N2)C=C1F |&1:11,15,c:2,18,20,23,t:5|",450614896
,Z3040947536,372.43,"CC(C)(C)SC1=C(F)C=C(NC(=O)N2CCO[C@@H]3COC[C@@H]23)C=C1F |&1:17,21,c:5,24,t:8|",450614896
,Z1845757203,316.37,CCC1(CCOC1)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z3592515781,354.38,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CN=C2)C=C1F |&1:11,15,c:2,18,20,23,t:5|",450614896
,Z4001326576,340.34,"CSC1=C(F)C=C(C=C1F)N1C(=O)[C@@H]2C[C@@H]3OCC[C@@H]3N2C1=O |&1:13,15,19,c:2,5,7|",450614896
,Z3175338271,288.31,CSC1=C(F)C=C(NC(=O)N[C@H]2CCOC2)C=C1F,450614896
,Z2415805297,288.31,CSC1=C(F)C=C(NC(=O)N[C@@H]2CCOC2)C=C1F,450614896
,Z3592516271,344.38,"CO[C@@H]1CN([C@H]2COC[C@@H]12)C(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,5,9,c:23,t:15,18|",450614896
,Z4909059735,332.34,CSC1=C(F)C=C(NC(=O)NC23CC(CF)(C2)OC3)C=C1F,450614896
,Z3175337985,354.38,"CSC1=C(F)C=C(NC(=O)N[C@@H]2COC[C@@H]2N2C=CC=N2)C=C1F |&1:11,15,c:2,18,20,23,t:5|",450614896
,Z2295659456,374.45,CC(C)(C)SC1=C(F)C=C(NC(=O)NC2(CCO)CCOC2)C=C1F,450614896
,Z2295658955,370.46,CC(C)(C)SC1=C(F)C=C(NC(=O)N2CCCC22CCOC2)C=C1F,450614896
,Z5764502157,334.36,CSC1=C(F)C=C(NC(=O)N(CCF)C2CCOC2)C=C1F,450614896
,Z2293283363,332.37,"CCO[C@@H]1COC[C@H]1NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:3,7,c:21,t:13,16|",450614896
,Z2312654606,318.34,"CO[C@@H]1COC[C@@H]1NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,6,c:20,t:12,15|",450614896
,Z2439255290,318.34,"CO[C@@H]1COC[C@H]1NC(=O)NC1=CC(F)=C(SC)C(F)=C1 |&1:2,6,c:20,t:12,15|",450614896
,Z4264302927,360.38,"CSC1=C(F)C=C(NC(=O)NC23COC(C2)[C@H](O)[C@H](O)C3)C=C1F |&1:16,18,c:2,23,t:5|",450614896
,Z2950452893,328.38,CSC1=C(F)C=C(NC(=O)NC2COCC2C2CC2)C=C1F,450614896
,Z4316448824,342.4,"CC(C)(C)SC1=C(F)C=C(NC(=O)N2C[C@@H]3COC[C@H]23)C=C1F |&1:15,19,c:5,22,t:8|",450614896
,Z2295663446,344.42,CN(C1CCOC1)C(=O)NC1=CC(F)=C(SC(C)(C)C)C(F)=C1,450614896
,Z4111575708,328.38,CSC1=C(F)C=C(NC(=O)NC2(CC=C)CCOC2)C=C1F,450614896
,Z4403384215,374.4,"CC(C)(C)SC1=C(F)C=C(NC(=O)N[C@@H]2[C@H](CO)COC2=O)C=C1F |&1:14,15,c:5,23,t:8|",450614896
,Z3841425701,316.32,CSC1=C(F)C=C(NC(=O)N2C[C@H]3OC[C@@H]2[C@@H]3O)C=C1F,450614896
,Z4141265053,316.32,CSC1=C(F)C=C(NC(=O)N2C[C@@H]3OC[C@H]2[C@H]3O)C=C1F,450614896
,Z2057473020,328.38,CSC1=C(F)C=C(NC(=O)N2CCCC22CCOC2)C=C1F,450614896
,Z1889384046,332.37,CSC1=C(F)C=C(NC(=O)NC2(CCO)CCOC2)C=C1F,450614896
,Z2622658509,328.38,CSC1=C(F)C=C(NC(=O)NC2COC3(CCC3)C2)C=C1F,450614896
,Z2312654655,328.38,"CSC1=C(F)C=C(NC(=O)N2CCC[C@@H]3COC[C@H]23)C=C1F |&1:14,18,c:2,21,t:5|",450614896
,Z2950452821,358.4,CSC1=C(F)C=C(NC(=O)NC2CCOC22CCOCC2)C=C1F,450614896
,Z1751235813,342.36,CSC1=C(F)C=C(NC(=O)N2CCCC22CCOC2=O)C=C1F,450614896
,Z5069733692,344.38,COCC12CC(C1)(CO2)NC(=O)NC1=CC(F)=C(SC)C(F)=C1,450614896
,Z3592516452,342.36,"CSC1=C(F)C=C(NC(=O)N[C@@H]2[C@@H]3CCC[C@@H]3OC2=O)C=C1F |&1:11,12,16,c:2,22,t:5|",450614896
